Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
CBSNews,Tue Aug 14 10:59:04 +0000 2018,"""No other suspects have been reported to police. There is no intelligence at this time to further danger of London… https://t.co/lYgdhVklkF",-0.7269,0.106,0.348,0.546,45
CBSNews,Tue Aug 14 10:44:38 +0000 2018,AHEAD on @CBSThisMorning: We'll get a first look at how @Reebok's newest shoe is taking steps toward sustainability… https://t.co/I1HvZYJNZk,0.0,0.0,0.0,1.0,44
CBSNews,Tue Aug 14 10:40:03 +0000 2018,"Even as primary season continues, several Senate races are taking shape, with some incumbent Republicans and severa… https://t.co/Eyn2nPzF7a",0.0,0.0,0.0,1.0,43
CBSNews,Tue Aug 14 10:31:00 +0000 2018,"RT @CBSThisMorning: COMING UP THIS MORNING:

🔜 @OMAROSA joins us live in Studio 57 with new recording

🔜 We explore the impact of millennia…",0.0,0.0,0.0,1.0,42
CBSNews,Tue Aug 14 10:26:25 +0000 2018,Former White House aide @Omarosa will be on @CBSThisMorning with new recordings. We'll get her reaction to Presiden… https://t.co/Jz3TH4fY5p,0.0,0.0,0.0,1.0,41
CBSNews,Tue Aug 14 10:19:33 +0000 2018,"Firefighter dies battling massive blaze in Northern California, officials say https://t.co/4tVXFR6yQn https://t.co/hNWdV1mco0",-0.2732,0.0,0.16,0.84,40
CBSNews,Tue Aug 14 10:03:04 +0000 2018,"Poll: One year after Charlottesville, majority of Americans see racial tensions on the rise https://t.co/grGKiW25eE https://t.co/8x1FelEwcw",-0.4019,0.0,0.153,0.847,39
CBSNews,Tue Aug 14 09:52:26 +0000 2018,DEVELOPING: A man has been arrested on suspicion of terrorism after driving a car into a gate outside the Houses of… https://t.co/5HGiqVFHjv,-0.8834,0.0,0.392,0.608,38
CBSNews,Tue Aug 14 09:48:03 +0000 2018,Powerball ticket sold in New York City wins $245 million jackpot https://t.co/pfYpBW9PhO https://t.co/EytVW85pcT,0.5719,0.236,0.0,0.764,37
CBSNews,Tue Aug 14 09:33:03 +0000 2018,"Man who stole plane identified, once described job as getting ""to visit those I love most"" https://t.co/k0YqNwRvn9 https://t.co/VhbPUptmjQ",0.6369,0.208,0.0,0.792,36
CBSNews,Tue Aug 14 09:25:25 +0000 2018,"Melissa Howard, Florida Legislature candidate, admits claim she had college degree was false https://t.co/s7tU3bySdJ https://t.co/oI2gr8nx9e",0.296,0.136,0.0,0.864,35
CBSNews,Tue Aug 14 09:18:03 +0000 2018,"U.S. downplays ""failed"" Taliban siege as 100 Afghan forces killed https://t.co/IcRaBH24VZ https://t.co/oppjsqdzdU",-0.6705,0.0,0.29,0.71,34
CBSNews,Tue Aug 14 09:03:08 +0000 2018,One Maryland woman didn't let a rare medical procedure keep her from walking down the aisle https://t.co/gFe6EgqsTV https://t.co/Fx7jNaAOfZ,0.0,0.0,0.0,1.0,33
CBSNews,Tue Aug 14 08:48:04 +0000 2018,"Significant rise in mosquito ""disease danger days"" in U.S., report warns https://t.co/jfPavVdEzn https://t.co/Wt7UKw6Fpk",-0.4588,0.108,0.289,0.602,32
CBSNews,Tue Aug 14 08:33:03 +0000 2018,Democrats look to longshot territory for midterm gains https://t.co/yqjAQYg7eA https://t.co/Hk5ydSqFre,0.34,0.211,0.0,0.789,31
CBSNews,Tue Aug 14 08:18:04 +0000 2018,Indiana moms demand answers amid spate of kids' cancer cases https://t.co/JX6PZdNQuw https://t.co/zkfakRBTng,-0.7096,0.0,0.371,0.629,30
CBSNews,Tue Aug 14 08:03:05 +0000 2018,Tom Steyer announces $10 million drive to help Democrats https://t.co/EYxtyQ7G6G https://t.co/9wapdcjIUX,0.4019,0.213,0.0,0.787,29
CBSNews,Tue Aug 14 07:48:03 +0000 2018,Arizona woman missing for 9 days after sending her roommate a text message https://t.co/PrSOp0Bkbq https://t.co/OsV6ogFHMm,-0.296,0.0,0.155,0.845,28
CBSNews,Tue Aug 14 07:42:13 +0000 2018,Grieving mother orca finally lets go of dead calf after 17 days https://t.co/UOKFoVqnxB https://t.co/seuAlEP9F7,-0.8225,0.0,0.388,0.612,27
CBSNews,Tue Aug 14 07:30:34 +0000 2018,Pedestrians injured as car drives into U.K. parliament gate https://t.co/TM1Em42kPo https://t.co/o1HpF3KDgF,-0.4019,0.0,0.213,0.787,26
CBSNews,Tue Aug 14 07:18:04 +0000 2018,Commentary: Alexandria Ocasio-Cortez becomes the Sarah Palin of the Left https://t.co/dUWfREAJI6 https://t.co/R5tLopykoH,0.0,0.0,0.0,1.0,25
CBSNews,Tue Aug 14 07:03:04 +0000 2018,Prosecution rests in Manafort tax evasion and fraud trial https://t.co/R3XThXimZC https://t.co/C2soAQtmxv,-0.7906,0.0,0.438,0.562,24
